,date,open,close,high,low,volume,code
0,2015-01-05,161.056,172.013,173.474,160.266,94515.0,600519
1,2015-01-06,169.872,168.029,172.047,166.492,55020.0,600519
2,2015-01-07,166.509,163.876,169.448,161.37,54797.0,600519
3,2015-01-08,164.776,162.874,165.218,161.498,40525.0,600519
4,2015-01-09,161.719,161.642,166.28,161.472,53982.0,600519
5,2015-01-12,161.379,158.347,163.579,156.673,49914.0,600519
6,2015-01-13,158.831,157.03,160.139,156.792,36708.0,600519
7,2015-01-14,157.132,155.586,158.406,153.633,52403.0,600519
8,2015-01-15,156.189,158.041,158.321,154.992,48585.0,600519
9,2015-01-16,158.151,158.075,159.68,157.964,39978.0,600519
10,2015-01-19,153.735,149.046,155.603,145.64,64679.0,600519
11,2015-01-20,149.505,151.254,153.31,146.94,61022.0,600519
12,2015-01-21,151.416,154.89,155.348,150.507,52674.0,600519
13,2015-01-22,154.898,153.93,156.588,152.885,38254.0,600519
14,2015-01-23,152.987,153.752,155.671,152.979,33084.0,600519
15,2015-01-26,154.329,155.263,155.858,153.777,35649.0,600519
16,2015-01-27,155.28,152.979,155.28,151.187,41883.0,600519
17,2015-01-28,152.036,150.736,153.225,150.592,30680.0,600519
18,2015-01-29,149.658,149.615,151.187,148.638,32492.0,600519
19,2015-01-30,150.329,150.49,153.735,149.912,47508.0,600519
20,2015-02-02,149.072,148.486,149.828,147.364,33983.0,600519
21,2015-02-03,150.745,151.501,151.739,149.658,27792.0,600519
22,2015-02-04,152.163,150.549,154.652,150.337,35293.0,600519
23,2015-02-05,152.01,147.832,153.65,147.789,41239.0,600519
24,2015-02-06,148.333,148.299,149.912,147.449,37102.0,600519
25,2015-02-09,149.292,156.537,157.217,148.638,87293.0,600519
26,2015-02-10,156.962,155.331,157.302,154.117,53638.0,600519
27,2015-02-11,154.924,155.561,156.495,154.652,22894.0,600519
28,2015-02-12,156.274,155.917,156.699,154.592,25050.0,600519
29,2015-02-13,156.376,155.0,156.707,154.074,40127.0,600519
30,2015-02-16,155.043,155.697,155.968,153.921,39521.0,600519
31,2015-02-17,155.9,154.771,156.189,154.508,34172.0,600519
32,2015-02-25,155.433,156.249,157.727,153.828,59935.0,600519
33,2015-02-26,156.113,158.525,160.011,155.9,62297.0,600519
34,2015-02-27,158.746,162.271,165.201,158.661,63370.0,600519
35,2015-03-02,162.058,161.999,164.606,160.529,31098.0,600519
36,2015-03-03,160.784,157.939,163.078,157.268,42999.0,600519
37,2015-03-04,158.822,158.992,159.689,156.792,40662.0,600519
38,2015-03-05,157.141,157.574,158.856,156.325,36206.0,600519
39,2015-03-06,157.429,155.96,158.389,155.663,25470.0,600519
40,2015-03-09,157.812,162.704,163.918,156.113,43486.0,600519
41,2015-03-10,162.177,159.536,162.653,159.069,29637.0,600519
42,2015-03-11,159.536,163.061,163.927,159.51,40583.0,600519
43,2015-03-12,163.927,163.715,166.467,162.568,38496.0,600519
44,2015-03-13,163.672,161.302,164.691,160.173,25479.0,600519
45,2015-03-16,161.43,164.572,165.201,158.839,31160.0,600519
46,2015-03-17,165.617,167.129,168.76,165.532,45904.0,600519
47,2015-03-18,167.155,169.405,169.864,166.067,39304.0,600519
48,2015-03-19,168.632,165.863,169.015,164.827,33539.0,600519
49,2015-03-20,164.946,164.054,165.617,162.126,51373.0,600519
